;site_code;site_name;value_amount;lon;lat;name_map
847;29974;Оленья Речка;14690;93.22999999999999;52.8;Оленья Речка (29974) кол-во измерений:14690
848;30014;Чемдальск;17604;103.32;59.6333;Чемдальск (30014) кол-во измерений:17604
849;30028;Ика;17257;106.17;59.28;Ика (30028) кол-во измерений:17257
850;30037;Непа;17647;108.23;59.25;Непа (30037) кол-во измерений:17647
851;30054;Витим;17667;112.583333;59.45000000000001;Витим (30054) кол-во измерений:17667
852;30069;Перевоз;15737;116.91;59.0;Перевоз (30069) кол-во измерений:15737
853;30074;Мача;15063;117.6;59.933333;Мача (30074) кол-во измерений:15063
854;30089;Джикимда;17141;121.77;59.02;Джикимда (30089) кол-во измерений:17141
855;30127;Токма;16863;105.73;58.23;Токма (30127) кол-во измерений:16863
856;30138;Чечуйск;17435;108.68;58.1;Чечуйск (30138) кол-во измерений:17435
857;30142;Визирный;17048;111.25;58.8833;Визирный (30142) кол-во измерений:17048
858;30157;Мама;17470;112.87;58.32;Мама (30157) кол-во измерений:17470
859;30165;Светлый;16109;116.0;58.4;Светлый (30165) кол-во измерений:16109
860;30173;Тяня;16518;119.8;59.0;Тяня (30173) кол-во измерений:16518
861;30198;Суон-Тит;17047;123.71999999999998;58.07;Суон-Тит (30198) кол-во измерений:17047
862;30209;Ершово;14737;102.3;57.12;Ершово (30209) кол-во измерений:14737
863;30218;Новая Игирма;14148;103.95;57.11;Новая Игирма (30218) кол-во измерений:14148
864;30219;Максимово;15612;104.97;57.1;Максимово (30219) кол-во измерений:15612
865;30229;Верхнемарково;17297;107.07;57.33;Верхнемарково (30229) кол-во измерений:17297
866;30230;Киренск;17646;108.07;57.77;Киренск (30230) кол-во измерений:17646
867;30252;Мамакан;17561;114.02;57.82;Мамакан (30252) кол-во измерений:17561
868;30305;Кобляково;17043;101.43;56.58;Кобляково (30305) кол-во измерений:17043
869;30308;Вихоревка;17200;101.2;56.2;Вихоревка (30308) кол-во измерений:17200
870;30309;Братск,обс.;17651;101.75;56.28;Братск,обс. (30309) кол-во измерений:17651
871;30316;Железногорск;14543;104.09999999999998;56.4;Железногорск (30316) кол-во измерений:14543
872;30317;Заярск;17043;102.85;56.2;Заярск (30317) кол-во измерений:17043
873;30323;УСТЬ-КУТ;13086;105.8;56.8;УСТЬ-КУТ (30323) кол-во измерений:13086
